table,model,metric,variant,paper_value,expected_value,tolerance,notes
3,E3FP,Spearman,paper,0.026,0.026068,0.001,recomputed value rounds to the printed value
3,E3FP,Kendall,paper,0.018,0.018248,0.001,recomputed value rounds to the printed value
3,E3FP,CKA,paper,0.011,0.010683,0.001,recomputed value rounds to the printed value
3,E3FP,isoR2,paper,0.002,0.001507,0.001,recomputed value rounds to the printed value
3,E3FP,EJS,paper,0.184,0.183794,0.001,recomputed value rounds to the printed value
3,E3FP,EJS_ROCAUC,paper,0.531,0.531304,0.001,recomputed value rounds to the printed value
3,E3FP,TS,paper,0.385,0.385347,0.001,recomputed value rounds to the printed value
3,E3FP,KS,paper,0.916,0.913498,0.001,recomputed value does not match the printed value; Table 3 prints 0.916 while Table 6 prints 0.913 for the same mean; the Table 3 value is carried over from the submission draft and is not produced by any backed-up run
3,FMG,Spearman,paper,0.015,0.013975,0.001,recomputed value does not match the printed value; MACE/FMG energy columns are only partially reproducible from the backed-up embeddings; no backed-up run reproduces this published value
3,FMG,Kendall,paper,0.009,0.009321,0.001,recomputed value rounds to the printed value; Table 3 prints 0.009 while Table 6 prints 0.010 for the same mean
3,FMG,CKA,paper,0.011,0.011691,0.001,printed value is the 3-dp truncation (not rounding) of the recomputed value; Table 3 prints 0.011 while Table 6 prints 0.012 for the same mean
3,FMG,isoR2,paper,0.001,0.000822,0.001,recomputed value rounds to the printed value
3,FMG,EJS,paper,0.269,0.266977,0.001,recomputed value does not match the printed value; MACE/FMG energy columns are only partially reproducible from the backed-up embeddings; no backed-up run reproduces this published value
3,FMG,EJS_ROCAUC,paper,0.517,0.515996,0.001,recomputed value does not match the printed value; MACE/FMG energy columns are only partially reproducible from the backed-up embeddings; no backed-up run reproduces this published value
3,FMG,TS,paper,0.582,0.582899,0.001,printed value is the 3-dp truncation (not rounding) of the recomputed value; Table 3 prints 0.582 while Table 6 prints 0.583 for the same mean
3,FMG,KS,paper,0.999,0.999827,0.001,printed value is the 3-dp truncation (not rounding) of the recomputed value; Table 3 prints 0.999 while Table 6 prints 1.000 for the same mean
3,GemNet,Spearman,paper,0.078,0.077526,0.001,recomputed value rounds to the printed value
3,GemNet,Kendall,paper,0.052,0.051807,0.001,recomputed value rounds to the printed value
3,GemNet,CKA,paper,0.016,0.016325,0.001,recomputed value rounds to the printed value
3,GemNet,isoR2,paper,0.013,0.013470,0.001,recomputed value rounds to the printed value
3,GemNet,EJS,paper,0.356,0.355988,0.001,recomputed value rounds to the printed value
3,GemNet,EJS_ROCAUC,paper,0.592,0.591777,0.001,recomputed value rounds to the printed value
3,GemNet,TS,paper,0.444,0.443715,0.001,recomputed value rounds to the printed value
3,GemNet,KS,paper,0.998,0.998367,0.001,recomputed value rounds to the printed value
3,MACE,Spearman,paper,0.236,0.236143,0.001,recomputed value rounds to the printed value
3,MACE,Kendall,paper,0.159,0.159662,0.001,printed value is the 3-dp truncation (not rounding) of the recomputed value; Table 3 prints 0.159 while Table 6 prints 0.160 for the same mean
3,MACE,CKA,paper,0.017,0.017391,0.001,recomputed value rounds to the printed value
3,MACE,isoR2,paper,0.080,0.080723,0.001,printed value is the 3-dp truncation (not rounding) of the recomputed value; Table 3 prints 0.080 while Table 6 prints 0.083 for the same mean
3,MACE,EJS,paper,0.578,0.572063,0.001,recomputed value does not match the printed value; MACE/FMG energy columns are only partially reproducible from the backed-up embeddings; no backed-up run reproduces this published value
3,MACE,EJS_ROCAUC,paper,0.764,0.760630,0.001,recomputed value does not match the printed value; MACE/FMG energy columns are only partially reproducible from the backed-up embeddings; no backed-up run reproduces this published value
3,MACE,TS,paper,0.424,0.424343,0.001,recomputed value rounds to the printed value
3,MACE,KS,paper,0.999,0.999448,0.001,recomputed value rounds to the printed value
3,MolAE,Spearman,paper,0.039,0.038868,0.001,recomputed value rounds to the printed value
3,MolAE,Kendall,paper,0.026,0.025930,0.001,recomputed value rounds to the printed value
3,MolAE,CKA,paper,0.024,0.024077,0.001,recomputed value rounds to the printed value
3,MolAE,isoR2,paper,0.003,0.002824,0.001,recomputed value rounds to the printed value
3,MolAE,EJS,paper,0.294,0.293714,0.001,recomputed value rounds to the printed value
3,MolAE,EJS_ROCAUC,paper,0.545,0.545296,0.001,recomputed value rounds to the printed value
3,MolAE,TS,paper,0.346,0.346272,0.001,recomputed value rounds to the printed value
3,MolAE,KS,paper,0.998,0.998199,0.001,recomputed value rounds to the printed value
3,MolSpectra,Spearman,paper,0.023,0.022909,0.001,recomputed value rounds to the printed value
3,MolSpectra,Kendall,paper,0.015,0.015282,0.001,recomputed value rounds to the printed value
3,MolSpectra,CKA,paper,0.006,0.006444,0.001,recomputed value rounds to the printed value
3,MolSpectra,isoR2,paper,0.001,0.001481,0.001,recomputed value rounds to the printed value
3,MolSpectra,EJS,paper,0.271,0.270563,0.001,recomputed value rounds to the printed value
3,MolSpectra,EJS_ROCAUC,paper,0.526,0.526507,0.001,printed value is the 3-dp truncation (not rounding) of the recomputed value; Table 3 prints 0.526 while Table 6 prints 0.527 for the same mean
3,MolSpectra,TS,paper,0.409,0.408949,0.001,recomputed value rounds to the printed value
3,MolSpectra,KS,paper,0.977,0.976430,0.001,recomputed value does not match the printed value; Table 3 prints 0.977 while Table 6 prints 0.976 for the same mean; the Table 3 value is carried over from the submission draft and is not produced by any backed-up run
3,UniMol,Spearman,paper,0.043,0.042610,0.001,recomputed value rounds to the printed value
3,UniMol,Kendall,paper,0.028,0.028426,0.001,recomputed value rounds to the printed value
3,UniMol,CKA,paper,0.019,0.018778,0.001,recomputed value rounds to the printed value
3,UniMol,isoR2,paper,0.003,0.003016,0.001,recomputed value rounds to the printed value
