table,model,metric,paper_value
3,E3FP,Spearman,0.026
3,GemNet,Spearman,0.078
3,MolAE,Spearman,0.039
3,MolSpectra,Spearman,0.023
3,UniMol,Spearman,0.043
3,FMG,Spearman,0.015
3,MACE,Spearman,0.236
3,E3FP,Kendall,0.018
3,GemNet,Kendall,0.052
3,MolAE,Kendall,0.026
3,MolSpectra,Kendall,0.015
3,UniMol,Kendall,0.028
3,FMG,Kendall,0.009
3,MACE,Kendall,0.159
3,E3FP,CKA,0.011
3,GemNet,CKA,0.016
3,MolAE,CKA,0.024
3,MolSpectra,CKA,0.006
3,UniMol,CKA,0.019
3,FMG,CKA,0.011
3,MACE,CKA,0.017
3,E3FP,isoR2,0.002
3,GemNet,isoR2,0.013
3,MolAE,isoR2,0.003
3,MolSpectra,isoR2,0.001
3,UniMol,isoR2,0.003
3,FMG,isoR2,0.001
3,MACE,isoR2,0.080
3,E3FP,EJS,0.184
3,GemNet,EJS,0.356
3,MolAE,EJS,0.294
3,MolSpectra,EJS,0.271
3,UniMol,EJS,0.301
3,FMG,EJS,0.269
3,MACE,EJS,0.578
3,E3FP,EJS_ROCAUC,0.531
3,GemNet,EJS_ROCAUC,0.592
3,MolAE,EJS_ROCAUC,0.545
3,MolSpectra,EJS_ROCAUC,0.526
3,UniMol,EJS_ROCAUC,0.549
3,FMG,EJS_ROCAUC,0.517
3,MACE,EJS_ROCAUC,0.764
3,E3FP,TS,0.385
3,GemNet,TS,0.444
3,MolAE,TS,0.346
3,MolSpectra,TS,0.409
3,UniMol,TS,0.356
3,FMG,TS,0.582
3,MACE,TS,0.424
3,E3FP,KS,0.916
3,GemNet,KS,0.998
3,MolAE,KS,0.998
3,MolSpectra,KS,0.977
3,UniMol,KS,0.997
3,FMG,KS,0.999
3,MACE,KS,0.999
6,E3FP,Spearman:mean,0.026
6,E3FP,Spearman:ci95,0.001
6,GemNet,Spearman:mean,0.078
6,GemNet,Spearman:ci95,0.002
6,MolAE,Spearman:mean,0.039
6,MolAE,Spearman:ci95,0.001
6,MolSpectra,Spearman:mean,0.023
6,MolSpectra,Spearman:ci95,0.001
6,MACE,Spearman:mean,0.236
6,MACE,Spearman:ci95,0.011
6,FMG,Spearman:mean,0.015
6,FMG,Spearman:ci95,0.004
6,E3FP,Kendall:mean,0.018
6,E3FP,Kendall:ci95,0.001
6,GemNet,Kendall:mean,0.052
6,GemNet,Kendall:ci95,0.002
6,MolAE,Kendall:mean,0.026
6,MolAE,Kendall:ci95,0.001
6,MolSpectra,Kendall:mean,0.015
6,MolSpectra,Kendall:ci95,0.001
6,MACE,Kendall:mean,0.160
6,MACE,Kendall:ci95,0.008
6,FMG,Kendall:mean,0.010
6,FMG,Kendall:ci95,0.003
6,E3FP,CKA:mean,0.011
6,E3FP,CKA:ci95,0.000
6,GemNet,CKA:mean,0.016
6,GemNet,CKA:ci95,0.000
6,MolAE,CKA:mean,0.024
6,MolAE,CKA:ci95,0.000
6,MolSpectra,CKA:mean,0.006
6,MolSpectra,CKA:ci95,0.000
6,MACE,CKA:mean,0.017
6,MACE,CKA:ci95,0.001
6,FMG,CKA:mean,0.012
6,FMG,CKA:ci95,0.001
6,E3FP,isoR2:mean,0.002
6,E3FP,isoR2:ci95,0.000
6,GemNet,isoR2:mean,0.013
6,GemNet,isoR2:ci95,0.001
6,MolAE,isoR2:mean,0.003
6,MolAE,isoR2:ci95,0.000
6,MolSpectra,isoR2:mean,0.001
6,MolSpectra,isoR2:ci95,0.000
6,MACE,isoR2:mean,0.083
6,MACE,isoR2:ci95,0.010
6,FMG,isoR2:mean,0.001
6,FMG,isoR2:ci95,0.000
6,E3FP,EJS(0.1sigma):mean,0.151
6,E3FP,EJS(0.1sigma):ci95,0.006
6,GemNet,EJS(0.1sigma):mean,0.252
6,GemNet,EJS(0.1sigma):ci95,0.000
6,MolAE,EJS(0.1sigma):mean,0.251
6,MolAE,EJS(0.1sigma):ci95,0.000
6,MolSpectra,EJS(0.1sigma):mean,0.250
6,MolSpectra,EJS(0.1sigma):ci95,0.000
6,MACE,EJS(0.1sigma):mean,0.255
6,MACE,EJS(0.1sigma):ci95,0.000
6,FMG,EJS(0.1sigma):mean,0.250
6,FMG,EJS(0.1sigma):ci95,0.000
6,E3FP,EJS(0.5sigma):mean,0.155
6,E3FP,EJS(0.5sigma):ci95,0.006
6,GemNet,EJS(0.5sigma):mean,0.263
6,GemNet,EJS(0.5sigma):ci95,0.000
6,MolAE,EJS(0.5sigma):mean,0.256
6,MolAE,EJS(0.5sigma):ci95,0.000
6,MolSpectra,EJS(0.5sigma):mean,0.253
6,MolSpectra,EJS(0.5sigma):ci95,0.000
6,MACE,EJS(0.5sigma):mean,0.286
6,MACE,EJS(0.5sigma):ci95,0.002
6,FMG,EJS(0.5sigma):mean,0.253
6,FMG,EJS(0.5sigma):ci95,0.001
6,E3FP,EJS(1sigma):mean,0.162
6,E3FP,EJS(1sigma):ci95,0.006
6,GemNet,EJS(1sigma):mean,0.286
6,GemNet,EJS(1sigma):ci95,0.001
6,MolAE,EJS(1sigma):mean,0.265
6,MolAE,EJS(1sigma):ci95,0.001
6,MolSpectra,EJS(1sigma):mean,0.258
6,MolSpectra,EJS(1sigma):ci95,0.001
6,MACE,EJS(1sigma):mean,0.350
6,MACE,EJS(1sigma):ci95,0.007
6,FMG,EJS(1sigma):mean,0.257
6,FMG,EJS(1sigma):ci95,0.002
6,E3FP,EJS(2sigma):mean,0.184
6,E3FP,EJS(2sigma):ci95,0.007
6,GemNet,EJS(2sigma):mean,0.356
6,GemNet,EJS(2sigma):ci95,0.004
6,MolAE,EJS(2sigma):mean,0.294
6,MolAE,EJS(2sigma):ci95,0.002
6,MolSpectra,EJS(2sigma):mean,0.271
6,MolSpectra,EJS(2sigma):ci95,0.002
6,MACE,EJS(2sigma):mean,0.578
6,MACE,EJS(2sigma):ci95,0.019
6,FMG,EJS(2sigma):mean,0.269
6,FMG,EJS(2sigma):ci95,0.006
6,E3FP,EJS(3sigma):mean,0.217
6,E3FP,EJS(3sigma):ci95,0.009
6,GemNet,EJS(3sigma):mean,0.451
6,GemNet,EJS(3sigma):ci95,0.007
6,MolAE,EJS(3sigma):mean,0.328
6,MolAE,EJS(3sigma):ci95,0.004
6,MolSpectra,EJS(3sigma):mean,0.289
6,MolSpectra,EJS(3sigma):ci95,0.004
6,MACE,EJS(3sigma):mean,0.845
6,MACE,EJS(3sigma):ci95,0.025
6,FMG,EJS(3sigma):mean,0.283
6,FMG,EJS(3sigma):ci95,0.016
6,E3FP,ROC_AUC:mean,0.531
6,E3FP,ROC_AUC:ci95,0.001
6,GemNet,ROC_AUC:mean,0.592
6,GemNet,ROC_AUC:ci95,0.003
6,MolAE,ROC_AUC:mean,0.545
6,MolAE,ROC_AUC:ci95,0.001
6,MolSpectra,ROC_AUC:mean,0.527
6,MolSpectra,ROC_AUC:ci95,0.001
6,MACE,ROC_AUC:mean,0.764
6,MACE,ROC_AUC:ci95,0.011
6,FMG,ROC_AUC:mean,0.517
6,FMG,ROC_AUC:ci95,0.005
6,E3FP,Smoothness:mean,0.847
6,E3FP,Smoothness:ci95,0.002
6,GemNet,Smoothness:mean,0.998
6,GemNet,Smoothness:ci95,0.000
6,MolAE,Smoothness:mean,0.996
6,MolAE,Smoothness:ci95,0.000
6,MolSpectra,Smoothness:mean,0.974
6,MolSpectra,Smoothness:ci95,0.001
6,MACE,Smoothness:mean,0.999
6,MACE,Smoothness:ci95,0.000
6,FMG,Smoothness:mean,0.972
6,FMG,Smoothness:ci95,0.002
6,E3FP,TS:mean,0.385
6,E3FP,TS:ci95,0.010
6,GemNet,TS:mean,0.444
6,GemNet,TS:ci95,0.004
6,MolAE,TS:mean,0.346
6,MolAE,TS:ci95,0.001
6,MolSpectra,TS:mean,0.409
6,MolSpectra,TS:ci95,0.004
6,MACE,TS:mean,0.424
6,MACE,TS:ci95,0.014
6,FMG,TS:mean,0.583
6,FMG,TS:ci95,0.007
6,E3FP,KS:mean,0.913
6,E3FP,KS:ci95,0.001
6,GemNet,KS:mean,0.998
6,GemNet,KS:ci95,0.000
6,MolAE,KS:mean,0.998
6,MolAE,KS:ci95,0.000
6,MolSpectra,KS:mean,0.976
6,MolSpectra,KS:ci95,0.001
6,MACE,KS:mean,0.999
6,MACE,KS:ci95,0.000
6,FMG,KS:mean,1.000
6,FMG,KS:ci95,0.000
7,all,jumps(0.1sigma):mean,1839169.111
7,all,jumps(0.1sigma):ci95,34.666
7,all,jumps(0.5sigma):mean,1232341.449
7,all,jumps(0.5sigma):ci95,61.925
7,all,jumps(1sigma):mean,638505.706
7,all,jumps(1sigma):ci95,197.971
7,all,jumps(2sigma):mean,102542.184
7,all,jumps(2sigma):ci95,492.257
7,all,jumps(3sigma):mean,8929.385
7,all,jumps(3sigma):ci95,167.468
