table,model,metric,variant,paper_value,expected_value,tolerance,notes
1,e3fp,spearman,paper,0.406,0.405619,0.001,"mean over the 146,389 molecules of the 10% sample run (metrics_all_0.1_1.json.gz; cosine; E3FP Tanimoto); this release does not publish rotation embeddings for this model, so the row compares only when results are supplied"
1,gemnet,spearman,paper,0.560,0.559754,0.001,"mean over the 146,389 molecules of the 10% sample run (metrics_all_0.1_1.json.gz; cosine; E3FP Tanimoto); recompute it with the published GemNet rotation embeddings"
1,molae,spearman,paper,0.640,0.639965,0.001,"mean over the 146,389 molecules of the 10% sample run (metrics_all_0.1_1.json.gz; cosine; E3FP Tanimoto); this release does not publish rotation embeddings for this model, so the row compares only when results are supplied"
1,molspectra,spearman,paper,0.682,0.682009,0.001,"mean over the 146,389 molecules of the 10% sample run (metrics_all_0.1_1.json.gz; cosine; E3FP Tanimoto); this release does not publish rotation embeddings for this model, so the row compares only when results are supplied"
1,unimol,spearman,paper,0.697,0.697176,0.001,"mean over the 146,389 molecules of the 10% sample run (metrics_all_0.1_1.json.gz; cosine; E3FP Tanimoto); this release does not publish rotation embeddings for this model, so the row compares only when results are supplied"
1,e3fp,kendall,paper,0.272,0.272296,0.001,"mean over the 146,389 molecules of the 10% sample run (metrics_all_0.1_1.json.gz; cosine; E3FP Tanimoto); this release does not publish rotation embeddings for this model, so the row compares only when results are supplied"
1,gemnet,kendall,paper,0.336,0.335809,0.001,"mean over the 146,389 molecules of the 10% sample run (metrics_all_0.1_1.json.gz; cosine; E3FP Tanimoto); recompute it with the published GemNet rotation embeddings"
1,molae,kendall,paper,0.483,0.483252,0.001,"mean over the 146,389 molecules of the 10% sample run (metrics_all_0.1_1.json.gz; cosine; E3FP Tanimoto); this release does not publish rotation embeddings for this model, so the row compares only when results are supplied"
1,molspectra,kendall,paper,0.506,0.505864,0.001,"mean over the 146,389 molecules of the 10% sample run (metrics_all_0.1_1.json.gz; cosine; E3FP Tanimoto); this release does not publish rotation embeddings for this model, so the row compares only when results are supplied"
1,unimol,kendall,paper,0.563,0.562824,0.001,"mean over the 146,389 molecules of the 10% sample run (metrics_all_0.1_1.json.gz; cosine; E3FP Tanimoto); this release does not publish rotation embeddings for this model, so the row compares only when results are supplied"
1,e3fp,cka,paper,0.757,0.757292,0.001,"mean over the 146,389 molecules of the 10% sample run (metrics_all_0.1_1.json.gz; cosine; E3FP Tanimoto); this release does not publish rotation embeddings for this model, so the row compares only when results are supplied"
1,gemnet,cka,paper,0.813,0.813476,0.001,"mean over the 146,389 molecules of the 10% sample run (metrics_all_0.1_1.json.gz; cosine; E3FP Tanimoto); recompute it with the published GemNet rotation embeddings"
1,molae,cka,paper,0.862,0.862460,0.001,"mean over the 146,389 molecules of the 10% sample run (metrics_all_0.1_1.json.gz; cosine; E3FP Tanimoto); this release does not publish rotation embeddings for this model, so the row compares only when results are supplied"
