table,model,metric,variant,paper_value,expected_value,tolerance,notes
1-shard1,gemnet,spearman,paper,,0.569728,0.001,"backup 10% run, mean over its 9,116 shard-1 molecules"
1-shard1,gemnet,kendall,paper,,0.342239,0.001,"backup 10% run, mean over its 9,116 shard-1 molecules"
1-shard1,gemnet,cka,paper,,0.818822,0.001,"backup 10% run, mean over its 9,116 shard-1 molecules"
1-shard1,gemnet,isotonic_r2,paper,,0.674854,0.001,"backup 10% run, mean over its 9,116 shard-1 molecules"
1-shard1,gemnet,lie_k,paper,,0.708220,0.001,"backup full run (with its embedding-offset shift), mean over 91,481 shard-1 molecules; use --replicate-offset-drift"
1-shard1,gemnet,torsion_sp,paper,,0.427353,0.001,"backup 10% run, mean over its 9,116 shard-1 molecules"
1-shard1,gemnet,as,paper,,0.010496,0.00001,"backup full run (with its embedding-offset shift), mean over 91,481 shard-1 molecules; use --replicate-offset-drift"
1-shard1,gemnet,lie_k,paper_aligned,,0.365596,0.001,"regression value computed with this code (A100 box, 24 workers); aligned embeddings, all 91,481 evaluated shard-1 molecules"
1-shard1,gemnet,as,paper_aligned,,0.001037,0.00001,"regression value computed with this code (A100 box, 24 workers); aligned embeddings, all 91,481 evaluated shard-1 molecules"
1-shard1,gemnet,spearman,v2,,0.561983,0.001,"regression value computed with this code (A100 box, 24 workers); metric-version v2, all 91,481 evaluated shard-1 molecules"
1-shard1,gemnet,kendall,v2,,0.447778,0.001,"regression value computed with this code (A100 box, 24 workers); metric-version v2, all 91,481 evaluated shard-1 molecules"
1-shard1,gemnet,cka,v2,,0.763413,0.001,"regression value computed with this code (A100 box, 24 workers); metric-version v2, all 91,481 evaluated shard-1 molecules"
1-shard1,gemnet,isotonic_r2,v2,,0.637885,0.001,"regression value computed with this code (A100 box, 24 workers); metric-version v2, all 91,481 evaluated shard-1 molecules"
1-shard1,gemnet,lie_k,v2,,0.325691,0.001,"regression value computed with this code (A100 box, 24 workers); metric-version v2, all 91,481 evaluated shard-1 molecules"
1-shard1,gemnet,torsion_sp,v2,,0.421115,0.001,"regression value computed with this code (A100 box, 24 workers); metric-version v2, all 91,481 evaluated shard-1 molecules"
1-shard1,gemnet,as,v2,,1.814237,0.001,"regression value computed with this code (A100 box, 24 workers); metric-version v2, all 91,481 evaluated shard-1 molecules"
