table,model,metric,variant,paper_value,expected_value,tolerance,notes
table2,e3fp,ES-AUC,euclidean,0.486,0.485935,0.001,"paper value = round(x, 3); |expected-paper|=0.000065; bit-identical to backup en_sep_results/summary.csv (Sep 2025)"
table2,e3fp,NN@1-Acc,euclidean,0.178,0.177939,0.001,"paper value = round(x, 3); |expected-paper|=0.000061; bit-identical to backup en_sep_results/summary.csv (Sep 2025)"
table2,e3fp,SCI,euclidean,-0.012,-0.012543,0.001,paper value = truncation of x; |expected-paper|=0.000543; bit-identical to backup en_sep_results/summary.csv (Sep 2025)
table2,e3fp,SCI_unsup,euclidean,0.033,0.033825,0.001,paper value = truncation of x; |expected-paper|=0.000825; bit-identical to backup en_sep_results/summary.csv (Sep 2025); best-k silhouette scans k = 2..n-1 (release 0.1.0 capped k at 10)
table2,gemnet,ES-AUC,euclidean,0.577,0.577410,0.001,round and truncation agree; |expected-paper|=0.000410; bit-identical to backup en_sep_results/summary.csv (Sep 2025)
table2,gemnet,NN@1-Acc,euclidean,0.292,0.291641,0.001,"paper value = round(x, 3); |expected-paper|=0.000359; bit-identical to backup en_sep_results/summary.csv (Sep 2025)"
table2,gemnet,Hopkins,euclidean,0.593,0.592812,0.001,"paper value = round(x, 3); |expected-paper|=0.000188; bit-identical to backup en_sep_results/summary.csv (Sep 2025)"
table2,gemnet,SCI,euclidean,0.015,-0.015151,0.001,paper prints +0.015; the computed value and the Sep-2025 output are -0.0152 (sign typo in the paper); bit-identical to backup en_sep_results/summary.csv (Sep 2025)
table2,gemnet,SCI_unsup,euclidean,0.272,0.271961,0.001,"paper value = round(x, 3); |expected-paper|=0.000039; backup en_sep_results/summary.csv = 0.271958887 (diff +2.41e-06; KMeans local optimum is BLAS-kernel dependent); best-k silhouette scans k = 2..n-1 (release 0.1.0 capped k at 10)"
table2,molae,ES-AUC,euclidean,0.782,0.782544,0.001,paper value = truncation of x; |expected-paper|=0.000544; bit-identical to backup en_sep_results/summary.csv (Sep 2025)
table2,molae,NN@1-Acc,euclidean,0.497,0.497546,0.001,paper value = truncation of x; |expected-paper|=0.000546; bit-identical to backup en_sep_results/summary.csv (Sep 2025)
table2,molae,Hopkins,euclidean,0.602,0.602659,0.001,paper value = truncation of x; |expected-paper|=0.000659; bit-identical to backup en_sep_results/summary.csv (Sep 2025)
table2,molae,SCI,euclidean,0.115,0.115274,0.001,round and truncation agree; |expected-paper|=0.000274; bit-identical to backup en_sep_results/summary.csv (Sep 2025)
table2,molae,SCI_unsup,euclidean,0.247,0.247099,0.001,round and truncation agree; |expected-paper|=0.000099; bit-identical to backup en_sep_results/summary.csv (Sep 2025); best-k silhouette scans k = 2..n-1 (release 0.1.0 capped k at 10)
table2,molspectra,ES-AUC,euclidean,0.545,0.544744,0.001,"paper value = round(x, 3); |expected-paper|=0.000256; bit-identical to backup en_sep_results/summary.csv (Sep 2025)"
table2,molspectra,NN@1-Acc,euclidean,0.235,0.235250,0.001,round and truncation agree; |expected-paper|=0.000250; bit-identical to backup en_sep_results/summary.csv (Sep 2025)
table2,molspectra,Hopkins,euclidean,0.533,0.532642,0.001,"paper value = round(x, 3); |expected-paper|=0.000358; bit-identical to backup en_sep_results/summary.csv (Sep 2025)"
table2,molspectra,SCI,euclidean,-0.020,-0.020326,0.001,round and truncation agree; |expected-paper|=0.000326; bit-identical to backup en_sep_results/summary.csv (Sep 2025)
table2,molspectra,SCI_unsup,euclidean,0.127,0.127115,0.001,round and truncation agree; |expected-paper|=0.000115; bit-identical to backup en_sep_results/summary.csv (Sep 2025); best-k silhouette scans k = 2..n-1 (release 0.1.0 capped k at 10)
table2,unimol,ES-AUC,euclidean,0.622,0.622998,0.001,paper value = truncation of x; |expected-paper|=0.000998; bit-identical to backup en_sep_results/summary.csv (Sep 2025)
table2,unimol,NN@1-Acc,euclidean,0.339,0.339582,0.001,paper value = truncation of x; |expected-paper|=0.000582; bit-identical to backup en_sep_results/summary.csv (Sep 2025)
table2,unimol,Hopkins,euclidean,0.559,0.559572,0.001,paper value = truncation of x; |expected-paper|=0.000572; bit-identical to backup en_sep_results/summary.csv (Sep 2025)
table2,unimol,SCI,euclidean,0.012,0.011623,0.001,"paper value = round(x, 3); |expected-paper|=0.000377; bit-identical to backup en_sep_results/summary.csv (Sep 2025)"
table2,unimol,SCI_unsup,euclidean,0.152,0.152108,0.001,round and truncation agree; |expected-paper|=0.000108; backup en_sep_results/summary.csv = 0.152106160 (diff +1.98e-06; KMeans local optimum is BLAS-kernel dependent); best-k silhouette scans k = 2..n-1 (release 0.1.0 capped k at 10)
table2,fmg,ES-AUC,euclidean,0.706,0.705652,0.001,"paper value = round(x, 3); |expected-paper|=0.000348; no original metric output in the backup; recomputed from the published embedding"
