key,mol_id,en_id
CHEMBL100::en0_A12:S;A19:S,CHEMBL100,0
CHEMBL100::en1_A12:R;A19:S,CHEMBL100,1
CHEMBL100::en2_A12:S;A19:R,CHEMBL100,2
CHEMBL100::en3_A12:R;A19:R,CHEMBL100,3
CHEMBL1002::en0_A6:R,CHEMBL1002,0
CHEMBL1002::en1_A6:S,CHEMBL1002,1
CHEMBL100259::en0_A5:R;A7:R;A10:R;A12:S,CHEMBL100259,0
CHEMBL100259::en1_A5:S;A7:R;A10:R;A12:S,CHEMBL100259,1
CHEMBL100259::en2_A5:R;A7:S;A10:R;A12:S,CHEMBL100259,2
CHEMBL100259::en3_A5:S;A7:S;A10:R;A12:S,CHEMBL100259,3
CHEMBL100259::en4_A5:R;A7:R;A10:S;A12:S,CHEMBL100259,4
CHEMBL1009::en0_A1:R,CHEMBL1009,0
CHEMBL1009::en1_A1:S,CHEMBL1009,1
CHEMBL1013::en0_A1:S;A5:S;A17:R,CHEMBL1013,0
CHEMBL1013::en1_A1:R;A5:S;A17:R,CHEMBL1013,1
CHEMBL1013::en2_A1:S;A5:R;A17:R,CHEMBL1013,2
CHEMBL1013::en3_A1:R;A5:R;A17:R,CHEMBL1013,3
CHEMBL1013::en4_A1:S;A5:S;A17:S,CHEMBL1013,4
CHEMBL10188::en0_A2:S,CHEMBL10188,0
CHEMBL10188::en1_A2:R,CHEMBL10188,1
CHEMBL1027::en0_A14:S,CHEMBL1027,0
CHEMBL1027::en1_A14:R,CHEMBL1027,1
CHEMBL1029::en0_A6:S;A8:S;A10:R;A12:S,CHEMBL1029,0
CHEMBL1029::en1_A6:R;A8:S;A10:R;A12:S,CHEMBL1029,1
CHEMBL1029::en2_A6:S;A8:R;A10:R;A12:S,CHEMBL1029,2
CHEMBL1029::en3_A6:R;A8:R;A10:R;A12:S,CHEMBL1029,3
CHEMBL1029::en4_A6:S;A8:S;A10:S;A12:S,CHEMBL1029,4
CHEMBL103::en0_A3:R;A6:R;A7:S;A16:R;A18:R;A21:S,CHEMBL103,0
CHEMBL103::en1_A3:S;A6:R;A7:S;A16:R;A18:R;A21:S,CHEMBL103,1
CHEMBL103::en2_A3:R;A6:S;A7:S;A16:R;A18:R;A21:S,CHEMBL103,2
CHEMBL103::en3_A3:S;A6:S;A7:S;A16:R;A18:R;A21:S,CHEMBL103,3
CHEMBL103::en4_A3:R;A6:R;A7:R;A16:R;A18:R;A21:S,CHEMBL103,4
CHEMBL105::en0_A2:S;A3:S;A21:R;A23:R,CHEMBL105,0
CHEMBL1050::en0_A9:R;A10:S;A13:S;A23:R;A26:S,CHEMBL1050,0
CHEMBL1050::en1_A9:S;A10:S;A13:S;A23:R;A26:S,CHEMBL1050,1
CHEMBL1050::en2_A9:R;A10:R;A13:S;A23:R;A26:S,CHEMBL1050,2
CHEMBL1050::en3_A9:S;A10:R;A13:S;A23:R;A26:S,CHEMBL1050,3
CHEMBL1050::en4_A9:R;A10:S;A13:R;A23:R;A26:S,CHEMBL1050,4
CHEMBL105060::en0_A18:S;A24:R,CHEMBL105060,0
CHEMBL105060::en1_A18:R;A24:R,CHEMBL105060,1
CHEMBL105060::en2_A18:S;A24:S,CHEMBL105060,2
CHEMBL105060::en3_A18:R;A24:S,CHEMBL105060,3
CHEMBL105060::en4_A18:S;A24:R,CHEMBL105060,4
CHEMBL1051::en0_A12:R;A13:S;A16:S;A26:R;A29:S,CHEMBL1051,0
CHEMBL1051::en1_A12:S;A13:S;A16:S;A26:R;A29:S,CHEMBL1051,1
